name,r_p,gain,cover_call,opponent
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 009",P,-1,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 010",P,0,SALUTE,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 011",R,14,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 012",R,3,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 013",P,-1,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 014",P,2,WEASEL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 015",P,16,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 016",R,49,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 017",R,4,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 018",R,-4,REBEL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 019",P,19,SKY,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 020",P,0,MUSKET,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 021",P,0,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 023",P,10,12,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 024",P,11,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 025",R,-2,MUSKET,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 026",R,9,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 027",R,4,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 028",P,2,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 029",R,4,REBEL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 030",P,-7,BLADE,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 032",P,-3,REBEL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 033",R,0,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 034",P,23,SKY,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 035",P,0,MUSKET,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 036",P,0,BLADE,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 037",P,5,SALUTE,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 038",P,61,MUSKET,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 039",R,5,MUSKET,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 040",R,7,CHARGER,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 041",R,2,CHARGER,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 042",R,4,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 043",P,-11,REBEL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 044",P,11,MUSKET,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 045",R,4,MUSKET,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 046",P,0,REBEL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 047",P,11,SALUTE,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 048",P,2,DOME,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 050",P,20,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 051",R,7,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 052",R,1,REBEL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 053",R,24,CHARGER,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 054",P,3,CHARGER,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 055",R,3,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 056",R,1,REBEL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 057",P,9,RACK,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 058",R,1,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 059",P,4,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 060",P,-6,SALUTE,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 061",R,13,BLADE,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 062",R,0,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 063",R,-6,HILL,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 064",R,1,SKY,Holy Cross University
"18 06 HARVARD DEF vs PRINCETON O, Play 001",R,-1,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 002",P,0,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 003",P,13,SALUTE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 004",R,4,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 005",P,10,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 006",P,8,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 007",R,0,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 008",R,1,CHARGER,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 009",P,33,CHARGER,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 010",R,-1,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 011",R,5,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 012",P,4,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 013",R,4,CHARGER,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 014",P,6,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 016",R,3,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 017",P,9,12,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 018",R,2,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 019",P,7,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 020",R,7,CHARGER,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 021",R,3,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 022",P,0,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 023",P,0,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 024",P,10,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 025",R,3,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 026",P,49,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 027",R,7,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 028",R,3,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 029",R,1,CHARGER,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 030",P,0,CHARGER,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 031",P,0,7,Princeton University
